,0,1,2,3,4,5,6,7,8,9,10,11,12,13
10,TFT7_Augment_GuildLoot,TFT7_Augment_GuildGearUpgrades,TFT6_Augment_CyberneticShell2,7,"['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Qiyana', 1, 'TFT_Item_HextechGunblade', 'TFT_Item_ArchangelsStaff', 'noItems']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Talon', 2, 'TFT_Item_FrozenHeart', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_RedBuff']","['TFT7_Xayah', 1, 'TFT_Item_Quicksilver', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_MadredsBloodrazor']","['TFT7_Ornn', 2, 'TFT_Item_RedBuff', 'noItems', 'noItems']",,
11,TFT6_Augment_LudensEcho2,TFT6_Augment_TradeSectorPlus,TFT6_Augment_BlueBattery2,4,"['TFT7_Sett', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Karma', 3, 'TFT_Item_InfinityEdge', 'TFT_Item_JeweledGauntlet', 'TFT_Item_UnstableConcoction']","['TFT7_Leona', 3, 'TFT_Item_DragonsClaw', 'TFT_Item_RedBuff', 'TFT_Item_GargoyleStoneplate']","['TFT7_Taric', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Neeko', 2, 'TFT_Item_FrozenHeart', 'TFT_Item_SeraphsEmbrace', 'TFT_Item_IonicSpark']","['TFT7_Soraka', 1, 'TFT_Item_Chalice', 'noItems', 'noItems']",,
12,TFT6_Augment_CelestialBlessing2,TFT6_Augment_Diversify3,TFT6_Augment_SalvageBin,2,"['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Qiyana', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'TFT_Item_ZekesHerald', 'TFT_Item_StatikkShiv', 'TFT_Item_ZekesHerald']","['TFT7_Hecarim', 2, 'TFT_Item_FrozenHeart', 'noItems', 'noItems']","['TFT7_Talon', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Shroud', 'TFT_Item_MadredsBloodrazor']","['TFT7_Xayah', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Quicksilver']","['TFT7_Ornn', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_RecurveBow', 'noItems']","['TFT7_Yasuo', 1, 'noItems', 'noItems', 'noItems']",
13,TFT7_Augment_JadeEmblem,TFT6_Augment_ThrillOfTheHunt1,TFT7_Augment_UrfsGrabBag1,7,"['TFT7_Leona', 1, 'TFT_Item_ThiefsGloves', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_RedBuff']","['TFT7_Taric', 2, 'TFT7_Item_MirageEmblemItem', 'noItems', 'noItems']","['TFT7_Yone', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 1, 'TFT_Item_Chalice', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT7_Item_JadeEmblemItem', 'noItems', 'noItems']","['TFT7_Neeko', 1, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_DragonBlue', 1, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_ArchangelsStaff', 'TFT_Item_Quicksilver']","['TFT7_Yasuo', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_RapidFireCannon', 'TFT_Item_UnstableConcoction']",,
14,TFT6_Augment_PortableForge,TFT7_Augment_LategameSpecialist,TFT7_Augment_AstralIntercosmicGifts,6,"['TFT7_Nami', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Varus', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_Deathblade']","['TFT7_Illaoi', 3, 'TFT4_Item_OrnnEternalWinter', 'TFT_Item_BrambleVest', 'TFT_Item_Redemption']","['TFT7_Talon', 1, 'TFT7_Item_SwiftshotEmblemItem', 'noItems', 'noItems']","['TFT7_Xayah', 1, 'TFT_Item_HextechGunblade', 'TFT_Item_UnstableConcoction', 'TFT_Item_GuinsoosRageblade']","['TFT7_Ornn', 1, 'noItems', 'noItems', 'noItems']",,,
15,TFT6_Augment_TomeOfTraits1,TFT6_Augment_CelestialBlessing1,TFT6_Augment_CelestialBlessing2,6,"['TFT7_Vladimir', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 2, 'TFT7_Item_EvokerEmblemItem', 'TFT_Item_ArchangelsStaff', 'TFT_Item_ArchangelsStaff']","['TFT7_Sylas', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_TitansResolve', 'noItems']","['TFT7_DragonPurple', 2, 'TFT_Item_TitansResolve', 'TFT_Item_Bloodthirster', 'TFT_Item_Quicksilver']","['TFT7_TrainerDragon', 1, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,
16,TFT7_Augment_MageEmblem,TFT6_Augment_Diversify1,TFT7_Augment_RevelPartyFavors,6,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 1, 'TFT_Item_PowerGauntlet', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_InfinityEdge', 'TFT_Item_RapidFireCannon']","['TFT7_Sylas', 2, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_Corki', 2, 'TFT_Item_StatikkShiv', 'noItems', 'noItems']","['TFT7_DragonPurple', 1, 'TFT_Item_Bloodthirster', 'TFT_Item_TitansResolve', 'TFT_Item_InfinityEdge']","['TFT7_Sona', 2, 'TFT7_Item_MageEmblemItem', 'TFT_Item_SpearOfShojin', 'TFT_Item_Morellonomicon']","['TFT7_TrainerDragon', 2, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,
17,TFT7_Augment_Bloodlust1,TFT7_Augment_DragonAlliance,TFT6_Augment_SecondWind2,3,"['TFT7_Leona', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_RecurveBow', 'noItems', 'noItems']","['TFT7_DragonPurple', 2, 'TFT_Item_TitansResolve', 'TFT_Item_TitansResolve', 'TFT_Item_Bloodthirster']","['TFT7_DragonGold', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_Chalice', 'TFT_Item_DragonsClaw']","['TFT7_Yasuo', 2, 'TFT_Item_BrambleVest', 'TFT_Item_Deathblade', 'TFT7_Item_ShimmerscaleDravensAxe']","['TFT7_Shyvana', 1, 'TFT_Item_Morellonomicon', 'TFT_Item_Bloodthirster', 'TFT_Item_TitansResolve']",,,,
18,TFT6_Augment_TradeSector,TFT6_Augment_TargetDummies,TFT6_Augment_Meditation2,3,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'TFT_Item_ZekesHerald', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_Anivia', 1, 'noItems', 'noItems', 'noItems']","['TFT7_DragonPurple', 2, 'TFT_Item_Bloodthirster', 'TFT_Item_TitansResolve', 'TFT_Item_TitansResolve']","['TFT7_Sona', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Zoe', 1, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_UnstableConcoction', 'TFT7_Item_EvokerEmblemItem']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",
19,TFT6_Augment_TomeOfTraits1,TFT6_Augment_Electrocharge1,TFT6_Augment_CelestialBlessing3,7,"['TFT7_Lillia', 2, 'TFT_Item_TitansResolve', 'TFT_Item_ArchangelsStaff', 'TFT_Item_MadredsBloodrazor']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Braum', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Olaf', 3, 'TFT_Item_RapidFireCannon', 'TFT_Item_InfinityEdge', 'TFT7_Item_RagewingEmblemItem']","['TFT7_Diana', 3, 'TFT_Item_FrozenHeart', 'TFT7_Item_CavalierEmblemItem', 'noItems']","['TFT7_Hecarim', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Talon', 1, 'TFT_Item_Zephyr', 'noItems', 'noItems']",,,
20,TFT6_Augment_PortableForge,TFT6_Augment_ItemGrabBag1,TFT6_Augment_ThrillOfTheHunt1,3,"['TFT7_Sett', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Gnar', 2, 'TFT_Item_TitansResolve', 'noItems', 'noItems']","['TFT7_Ashe', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 3, 'TFT_Item_GuinsoosRageblade', 'TFT4_Item_OrnnInfinityForce', 'TFT_Item_ArchangelsStaff']","['TFT7_Neeko', 1, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_WarmogsArmor', 'TFT_Item_IonicSpark']","['TFT7_Xayah', 2, 'TFT_Item_ThiefsGloves', 'noItems', 'noItems']","['TFT7_Shyvana', 2, 'TFT_Item_TitansResolve', 'TFT_Item_Morellonomicon', 'TFT_Item_MadredsBloodrazor']","['TFT7_Soraka', 1, 'TFT_Item_PowerGauntlet', 'noItems', 'noItems']",,
21,TFT7_Augment_UrfsGrabBag1,TFT6_Augment_HighEndShopping,TFT6_Augment_SecondWind2,6,"['TFT7_Aatrox', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 2, 'TFT_Item_Quicksilver', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_RapidFireCannon']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'TFT_Item_WarmogsArmor', 'noItems', 'noItems']","['TFT7_Olaf', 2, 'TFT7_Item_MirageEmblemItem', 'TFT_Item_Bloodthirster', 'noItems']","['TFT7_DragonBlue', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_Quicksilver']",,,,
22,TFT7_Augment_RagewingScorch,TFT6_Augment_TradeSectorPlus,TFT7_Augment_ShapeshifterBeastsDen,5,"['TFT7_Sett', 2, 'TFT_Item_ZekesHerald', 'noItems', 'noItems']","['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 3, 'TFT_Item_StatikkShiv', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_MadredsBloodrazor']","['TFT7_Hecarim', 2, 'TFT7_Item_MirageEmblemItem', 'noItems', 'noItems']","['TFT7_Neeko', 2, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_Yasuo', 1, 'TFT_Item_GuardianAngel', 'TFT_Item_Quicksilver', 'noItems']","['TFT7_Shyvana', 1, 'TFT_Item_RabadonsDeathcap', 'TFT_Item_Morellonomicon', 'TFT_Item_HextechGunblade']",,,
23,TFT7_Augment_SwiftshotPressTheAttack,TFT6_Augment_Featherweights1,TFT6_Augment_Featherweights2,7,"['TFT7_Ezreal', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Thresh', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 3, 'TFT_Item_InfinityEdge', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Quicksilver']","['TFT7_Varus', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Xayah', 2, 'TFT7_Item_ShimmerscaleGamblersBlade', 'TFT_Item_RunaansHurricane', 'TFT_Item_GuinsoosRageblade']","['TFT7_DragonGold', 1, 'TFT_Item_Redemption', 'TFT_Item_BrambleVest', 'noItems']",,,,
24,TFT7_Augment_WhispersTrait,TFT6_Augment_ItemGrabBag1,TFT6_Augment_ThrillOfTheHunt2,7,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 1, 'TFT_Item_StatikkShiv', 'noItems', 'noItems']","['TFT7_Sylas', 1, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_MadredsBloodrazor']","['TFT7_DragonPurple', 1, 'TFT_Item_Bloodthirster', 'TFT_Item_WarmogsArmor', 'TFT_Item_RedBuff']","['TFT7_Pyke', 1, 'TFT_Item_ThiefsGloves', 'TFT_Item_Quicksilver', 'TFT_Item_Deathblade']","['TFT7_TrainerDragon', 2, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,
25,TFT6_Augment_ThrillOfTheHunt2,TFT7_Augment_GadgetExpert,TFT6_Augment_Ascension,1,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 2, 'TFT_Item_ZekesHerald', 'TFT_Item_PowerGauntlet', 'TFT_Item_RunaansHurricane']","['TFT7_Sylas', 2, 'TFT_Item_TitanicHydra', 'TFT_Item_PowerGauntlet', 'TFT_Item_LocketOfTheIronSolari']","['TFT7_Corki', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_StatikkShiv', 'TFT_Item_StatikkShiv']","['TFT7_DragonPurple', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_ZekesHerald', 'TFT_Item_ZekesHerald']","['TFT7_Sona', 2, 'TFT_Item_TearOfTheGoddess', 'noItems', 'noItems']","['TFT7_Zoe', 2, 'TFT_Item_SpearOfShojin', 'noItems', 'noItems']","['TFT7_Soraka', 2, 'noItems', 'noItems', 'noItems']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",
26,TFT7_Augment_MageEmblem,TFT6_Augment_TargetDummies,TFT6_Augment_ThrillOfTheHunt2,8,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT7_Item_EvokerEmblemItem', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'TFT7_Item_MageEmblemItem', 'TFT_Item_HextechGunblade', 'noItems']","['TFT7_DragonPurple', 1, 'TFT_Item_Bloodthirster', 'TFT_Item_TitansResolve', 'TFT_Item_UnstableConcoction']","['TFT7_TrainerDragon', 3, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
27,TFT7_Augment_ScalescornEmblem,TFT6_Augment_Weakspot,TFT7_Augment_UrfsGrabBag1,2,"['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'TFT_Item_LocketOfTheIronSolari', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'TFT_Item_LastWhisper', 'TFT_Item_SparringGloves', 'noItems']","['TFT7_Nunu', 3, 'TFT_Item_IonicSpark', 'TFT_Item_DragonsClaw', 'TFT_Item_FrozenHeart']","['TFT7_Olaf', 2, 'TFT7_Item_CavalierEmblemItem', 'TFT_Item_RunaansHurricane', 'TFT_Item_Bloodthirster']","['TFT7_Diana', 3, 'TFT_Item_ThiefsGloves', 'TFT_Item_RabadonsDeathcap', 'TFT_Item_HextechGunblade']","['TFT7_Talon', 2, 'TFT_Item_MadredsBloodrazor', 'TFT7_Item_ScalescornEmblemItem', 'TFT7_Item_CavalierEmblemItem']","['TFT7_Bard', 1, 'TFT_Item_RabadonsDeathcap', 'noItems', 'noItems']",,
28,TFT7_Augment_GadgetExpert,TFT7_Augment_JadeEmblem,TFT6_Augment_CyberneticUplink2,3,"['TFT7_Taric', 1, 'TFT_Item_RecurveBow', 'noItems', 'noItems']","['TFT7_Gnar', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'TFT_Item_StatikkShiv', 'TFT_Item_LastWhisper', 'noItems']","['TFT7_Lulu', 2, 'TFT7_Item_JadeEmblemItem', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_Quicksilver', 'TFT_Item_RabadonsDeathcap']","['TFT7_Neeko', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_Morellonomicon', 'noItems']","['TFT7_DragonGreen', 2, 'TFT_Item_TitansResolve', 'TFT_Item_Bloodthirster', 'TFT_Item_RunaansHurricane']","['TFT7_Bard', 2, 'TFT_Item_ArchangelsStaff', 'noItems', 'noItems']",,
29,TFT6_Augment_CyberneticUplink1,TFT6_Augment_ComponentGrabBag,TFT6_Augment_WindfallPlusPlus,3,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'TFT_Item_PowerGauntlet', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_Redemption', 'TFT_Item_IonicSpark', 'TFT_Item_TitansResolve']","['TFT7_Ornn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Zoe', 1, 'TFT_Item_SpearOfShojin', 'TFT_Item_StatikkShiv', 'TFT_Item_Quicksilver']","['TFT7_Yasuo', 1, 'noItems', 'noItems', 'noItems']","['TFT7_AoShin', 1, 'TFT_Item_SpearOfShojin', 'TFT_Item_HextechGunblade', 'TFT_Item_ArchangelsStaff']","['TFT7_TrainerDragon', 3, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",
30,TFT7_Augment_UrfsGrabBag1,TFT7_Augment_MirageEmblem2,TFT6_Augment_PortableForge,3,"['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 2, 'TFT_Item_PowerGauntlet', 'noItems', 'noItems']","['TFT7_Lillia', 1, 'TFT_Item_Zephyr', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'TFT_Item_Redemption', 'TFT_Item_WarmogsArmor', 'TFT_Item_UnstableConcoction']","['TFT7_Hecarim', 2, 'TFT7_Item_MirageEmblemItem', 'TFT_Item_TitanicHydra', 'noItems']","['TFT7_DragonBlue', 2, 'TFT_Item_ArchangelsStaff', 'TFT4_Item_OrnnZhonyasParadox', 'TFT_Item_JeweledGauntlet']","['TFT7_Yasuo', 1, 'TFT7_Item_CavalierEmblemItem', 'TFT_Item_GuardianAngel', 'TFT_Item_SeraphsEmbrace']",,,
