,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
18,TFT7_Augment_GuildGearUpgrades,TFT6_Augment_TradeSectorPlus,TFT7_Augment_SwiftshotPressTheAttack,1,"['TFT7_Nami', 3, 'TFT_Item_ZekesHerald', 'TFT_Item_ZekesHerald', 'noItems']","['TFT7_Qiyana', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'TFT_Item_NegatronCloak', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Varus', 3, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_RunaansHurricane']","['TFT7_Illaoi', 3, 'TFT_Item_TitansResolve', 'TFT_Item_WarmogsArmor', 'TFT_Item_GargoyleStoneplate']","['TFT7_Ornn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Zoe', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Bard', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_WarmogsArmor', 'TFT_Item_TitanicHydra']",,,
19,TFT6_Augment_SecondWind2,TFT6_Augment_Weakspot,TFT7_Augment_ShimmerscaleTrait,6,"['TFT7_Sett', 3, 'TFT_Item_ChainVest', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 3, 'TFT_Item_JeweledGauntlet', 'TFT_Item_Deathblade', 'TFT_Item_GuinsoosRageblade']","['TFT7_Volibear', 3, 'TFT_Item_Bloodthirster', 'TFT7_Item_ShimmerscaleMogulsMail', 'TFT_Item_Morellonomicon']","['TFT7_DragonGold', 2, 'TFT_Item_GargoyleStoneplate', 'TFT7_Item_ShimmerscaleHeartOfGold', 'TFT7_Item_ShimmerscaleDiamondHands']","['TFT7_Zoe', 1, 'TFT_Item_RabadonsDeathcap', 'TFT7_Item_ShimmerscaleGoldmancersStaff', 'noItems']",,,,,,
20,TFT7_Augment_BandOfThieves1,TFT6_Augment_Electrocharge3,TFT6_Augment_Weakspot,4,"['TFT7_Thresh', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'TFT_Item_InfinityEdge', 'TFT_Item_JeweledGauntlet', 'TFT_Item_MadredsBloodrazor']","['TFT7_Braum', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Olaf', 1, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_RunaansHurricane', 'TFT_Item_InfinityEdge']","['TFT7_Ryze', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_InfinityEdge', 'TFT_Item_Bloodthirster']","['TFT7_Diana', 2, 'TFT_Item_RedBuff', 'TFT_Item_IonicSpark', 'noItems']","['TFT7_Hecarim', 2, 'TFT_Item_Zephyr', 'noItems', 'noItems']",,,,
21,TFT6_Augment_TradeSector,TFT7_Augment_AstralTrait,TFT6_Augment_BlueBattery2,4,"['TFT7_Vladimir', 3, 'TFT_Item_HextechGunblade', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'TFT_Item_GiantsBelt', 'noItems', 'noItems']","['TFT7_Nidalee', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_StatikkShiv', 'TFT_Item_InfinityEdge']","['TFT7_Nami', 3, 'TFT_Item_Chalice', 'noItems', 'noItems']","['TFT7_Varus', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Illaoi', 3, 'TFT_Item_BrambleVest', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_PowerGauntlet']","['TFT7_AurelionSol', 1, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_HextechGunblade', 'TFT_Item_ArchangelsStaff']",,,,,
22,TFT7_Augment_AFK,TFT6_Augment_Ascension,TFT6_Augment_JeweledLotus,7,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Jinx', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 3, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_LastWhisper', 'TFT_Item_BFSword']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Corki', 1, 'TFT_Item_Deathblade', 'TFT_Item_JeweledGauntlet', 'TFT_Item_RecurveBow']","['TFT7_Ornn', 2, 'TFT_Item_DragonsClaw', 'TFT_Item_GiantsBelt', 'noItems']","['TFT7_Sona', 2, 'TFT7_Item_MageEmblemItem', 'noItems', 'noItems']","['TFT7_Zoe', 1, 'noItems', 'noItems', 'noItems']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
23,TFT6_Augment_Electrocharge2,TFT6_Augment_ForceOfNature,TFT7_Augment_BestFriends2,7,"['TFT7_Vladimir', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Vladimir', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_Quicksilver', 'TFT_Item_Deathblade']","['TFT7_Skarner', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nidalee', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 3, 'TFT_Item_Morellonomicon', 'noItems', 'noItems']","['TFT7_Varus', 3, 'TFT_Item_InfinityEdge', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Bloodthirster']","['TFT7_Illaoi', 3, 'TFT_Item_WarmogsArmor', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_LocketOfTheIronSolari']",,,
24,TFT7_Augment_CannoneerEmblem,TFT6_Augment_TinyTitans,TFT7_Augment_BestFriends2,3,"['TFT7_Senna', 2, 'noItems', 'noItems', 'noItems']","['TFT7_TahmKench', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_IonicSpark']","['TFT7_Jinx', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 3, 'TFT_Item_Bloodthirster', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Deathblade']","['TFT7_Lulu', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Corki', 2, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_HextechGunblade', 'TFT_Item_Bloodthirster']","['TFT7_Sona', 2, 'TFT7_Item_CannoneerEmblemItem', 'TFT_Item_GuinsoosRageblade', 'noItems']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
25,TFT6_Augment_ThreesCompany,TFT6_Augment_ItemGrabBag1,TFT6_Augment_PortableForge,6,"['TFT7_Sett', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Karma', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'TFT_Item_RapidFireCannon', 'noItems', 'noItems']","['TFT7_LeeSin', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'TFT_Item_Quicksilver', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_TitansResolve']","['TFT7_Anivia', 3, 'TFT_Item_SpearOfShojin', 'TFT_Item_SpearOfShojin', 'TFT_Item_HextechGunblade']","['TFT7_Ornn', 1, 'TFT_Item_DragonsClaw', 'TFT4_Item_OrnnAnimaVisage', 'TFT_Item_WarmogsArmor']",,,,
26,TFT6_Augment_ItemGrabBag1,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_CyberneticImplants3,1,"['TFT7_Vladimir', 3, 'TFT7_Item_MysticEmblemItem', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'TFT_Item_ChainVest', 'noItems', 'noItems']","['TFT7_Nidalee', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 3, 'TFT_Item_ArchangelsStaff', 'TFT_Item_JeweledGauntlet', 'noItems']","['TFT7_Twitch', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Varus', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_UnstableConcoction', 'TFT_Item_MadredsBloodrazor']","['TFT7_Illaoi', 3, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_BrambleVest', 'noItems']","['TFT7_Zoe', 2, 'TFT_Item_GuardianAngel', 'TFT_Item_JeweledGauntlet', 'noItems']","['TFT7_Bard', 2, 'TFT_Item_Zephyr', 'noItems', 'noItems']",,,
27,TFT6_Augment_ThrillOfTheHunt2,TFT7_Augment_ClutteredMind,TFT7_Augment_MageEmblem,7,"['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 1, 'TFT7_Item_MageEmblemItem', 'noItems', 'noItems']","['TFT7_Ryze', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_SeraphsEmbrace', 'TFT_Item_SpearOfShojin']","['TFT7_Sylas', 2, 'TFT7_Item_CavalierEmblemItem', 'TFT_Item_DragonsClaw', 'noItems']","['TFT7_Hecarim', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_Redemption', 'TFT_Item_BrambleVest']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']",,,,
28,TFT7_Augment_CavalierTrait,TFT7_Augment_CavalierEmblem,TFT6_Augment_TomeOfTraits1,1,"['TFT7_Thresh', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 3, 'TFT_Item_InfinityEdge', 'TFT_Item_JeweledGauntlet', 'TFT_Item_MadredsBloodrazor']","['TFT7_Braum', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Olaf', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Bloodthirster', 'TFT7_Item_MysticEmblemItem']","['TFT7_Sylas', 2, 'TFT_Item_LocketOfTheIronSolari', 'noItems', 'noItems']","['TFT7_Diana', 3, 'TFT_Item_RedBuff', 'TFT_Item_IonicSpark', 'TFT7_Item_CavalierEmblemItem']","['TFT7_Hecarim', 2, 'TFT7_Item_WhispersEmblemItem', 'noItems', 'noItems']","['TFT7_Zoe', 1, 'TFT_Item_SpearOfShojin', 'noItems', 'noItems']",,,,
29,TFT7_Augment_CavalierTrait,TFT6_Augment_Weakspot,TFT6_Augment_TomeOfTraits1,8,"['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'TFT7_Item_MirageEmblemItem', 'noItems', 'noItems']","['TFT7_Nunu', 1, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_Hecarim', 1, 'noItems', 'noItems', 'noItems']","['TFT7_DragonBlue', 1, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_GuinsoosRageblade', 'noItems']",,,,,,
30,TFT7_Augment_MirageHallucinate,TFT6_Augment_BlueBattery2,TFT6_Augment_SalvageBin,6,"['TFT7_Leona', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'TFT_Item_RedBuff', 'TFT_Item_DragonsClaw', 'TFT_Item_IonicSpark']","['TFT7_Hecarim', 2, 'TFT_Item_SpearOfShojin', 'noItems', 'noItems']","['TFT7_DragonBlue', 2, 'TFT_Item_JeweledGauntlet', 'TFT_Item_InfinityEdge', 'TFT_Item_GuinsoosRageblade']",,,,,,
